"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Adamantine Sling Bullet","XGE","78","unknown","Ammunition (Sling Bullet)","","","","","1,2 oz.","","Whenever you hit an object using this ammunition, the hit is a critical hit.Sling bullets are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Sling Bullets are typically stored in a Pouch (bought separately)."
"Adamantine Weapon","XGE","78","unknown","Generic Variant","","","","","","","Melee weapons made of or coated with adamantine are unusually effective when used to break objects. Whenever an adamantine weapon hits an object, the hit is a critical hit.The adamantine version of a melee weapon costs 500 gp more than the normal version, whether the weapon is made of the metal or coated with it. Base items. This item variant can be applied to the following base items:Antimatter Rifle (Adamantine Antimatter Rifle)Automatic Pistol (Adamantine Automatic Pistol)Automatic Rifle (Adamantine Automatic Rifle)Battleaxe (Adamantine Battleaxe)Blowgun (Adamantine Blowgun)Club (Adamantine Club)Dagger (Adamantine Dagger)Dart (Adamantine Dart)Double-Bladed Scimitar (Adamantine Double-Bladed Scimitar)Flail (Adamantine Flail)Glaive (Adamantine Glaive)Greataxe (Adamantine Greataxe)Greatclub (Adamantine Greatclub)Greatsword (Adamantine Greatsword)Halberd (Adamantine Halberd)Hand Crossbow (Adamantine Hand Crossbow)Handaxe (Adamantine Handaxe)Heavy Crossbow (Adamantine Heavy Crossbow)Hooked Shortspear (Adamantine Hooked Shortspear)Hoopak (Adamantine Hoopak)Hunting Rifle (Adamantine Hunting Rifle)Javelin (Adamantine Javelin)Lance (Adamantine Lance)Laser Pistol (Adamantine Laser Pistol)Laser Rifle (Adamantine Laser Rifle)Light Crossbow (Adamantine Light Crossbow)Light Hammer (Adamantine Light Hammer)Light Repeating Crossbow (Adamantine Light Repeating Crossbow)Longbow (Adamantine Longbow)Longsword (Adamantine Longsword)Mace (Adamantine Mace)Maul (Adamantine Maul)Morningstar (Adamantine Morningstar)Musket (Adamantine Musket)Pike (Adamantine Pike)Pistol (Adamantine Pistol)Quarterstaff (Adamantine Quarterstaff)Rapier (Adamantine Rapier)Revolver (Adamantine Revolver)Scimitar (Adamantine Scimitar)Shortbow (Adamantine Shortbow)Shortsword (Adamantine Shortsword)Shotgun (Adamantine Shotgun)Sickle (Adamantine Sickle)Sling (Adamantine Sling)Spear (Adamantine Spear)Trident (Adamantine Trident)War Pick (Adamantine War Pick)Warhammer (Adamantine Warhammer)Whip (Adamantine Whip)Yklwa (Adamantine Yklwa)"
"Adamantine Yklwa","XGE","78","unknown","Weapon (Yklwa), Simple Weapon, Melee Weapon","","1d8 Piercing","thrown (10/30 ft.)","","3 lb.","501 GP","The base item can be found in Tomb of Annihilation, page 32.Whenever you hit an object with this weapon, the hit is a critical hit.A yklwa (pronounced YICK-ul-wah) is a simple melee weapon that is the traditional weapon of Chultan warriors. A yklwa consists of a 3-foot wooden shaft with a steel or stone blade up to 18 inches long. Although it has the thrown weapon property, the yklwa is not well balanced for throwing. Thrown. If a weapon has the thrown property, you can throw the weapon to make a ranged attack. If the weapon is a melee weapon, you use the same ability modifier for that attack roll and damage roll that you would use for a melee attack with the weapon. For example, if you throw a handaxe, you use your Strength, but if you throw a dagger, you can use either your Strength or your Dexterity, since the dagger has the finesse property."
"Aerenal Trinket","ERLW","134","none","Adventuring Gear","","","","","","","Trinkets from Aerenald8Trinket1A bronzewood ring inscribed with the Elvish word for ""hope""2A dried flower; if it's placed in water, it blooms3An ebony locket; when it's opened, an elven voice whispers ""Always""4A tiny skull carved from dark wood5A finger bone inscribed with an unknown sigil6An ivory flute which produces no sound7A small journal made from preserved leaves8A book of poetry written by undead elves"
"Airship","PHB'24","230","none","Vehicle (Air)","","Speed: 8 mphCarrying Capacity: 1 ton cargo, 20 passengersCrew 10, AC 13, HP 300","","","","40.000 GP","Speed. A ship sailing against a strong wind moves at half speed. In a dead calm (no wind), waterborne ships can't move under sail and must be rowed. Keelboats and Rowboats are used on lakes and rivers. If going downstream, add the speed of the current (typically 3 miles per hour) to the speed of the vehicle. These vehicles can't be rowed against any significant current, but they can be pulled upstream by draft animals on the shores. A Rowboat can be carried and weighs 100 pounds. Crew. A ship larger than a Keelboat or Rowboat needs a crew of skilled hirelings (see ""Services"") to function. The minimum number of skilled hirelings needed to crew a ship depends on the type of ship. Passengers. The number of Small and Medium passengers the ship can accommodate using hammocks. A ship outfitted with private accommodations can carry one-fifth as many passengers. A passenger usually pays 5 SP per day for a hammock, but prices can vary from ship to ship. A small private cabin usually costs 2 GP per day. Damage Threshold. See the rules glossary. Ship Repair. Repairs to a damaged ship can be made while the vessel is berthed. Repairing 1 Hit Point of damage requires 1 day and costs 20 GP for materials and labor. If the repairs are made in a location where supplies and skilled labor are abundant, such as a city shipyard, the repair time and cost are halved."
"Alchemist's Fire","PHB'24","222","none","Adventuring Gear","","","","","1 lb.","50 GP","When you take the Attack action, you can replace one of your attacks with throwing a flask of Alchemist's Fire. Target one creature or object you can see within 20 feet of yourself. The target must succeed on a Dexterity saving throw (DC 8 plus your Dexterity modifier and Proficiency Bonus) or take 1d4 Fire damage and start burning."
"Alchemist's Supplies","PHB'24","220","none","Artisan's Tools","","","","","8 lb.","50 GP","Ability: IntelligenceUtilize: Identify a substance (DC 15), or start a fire (DC 15)Craft: Acid, Alchemist's Fire, Component Pouch, Oil, Paper, PerfumeArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Ale (mug)","PHB'24","231","none","Food and Drink","","","","","","4 CP",""
"Alexandrite","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A dark green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Amber","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A watery gold to rich gold gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Amethyst","DMG'24","214","none","Treasure (Gemstone)","","","","","","100 GP","A deep purple gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Amulet","PHB'24","226","none","Spellcasting Focus","","","","","1 lb.","5 GP","For an Amulet to be an effective Holy Symbol, it must be worn or held.A Holy Symbol takes a specific form and is bejeweled or painted to channel divine magic. A Cleric or Paladin can use a Holy Symbol as a Spellcasting Focus."
"Antimatter Rifle","DMG'24","73","none","Weapon, Futuristic, Martial Weapon, Ranged Weapon, Firearm","","6d8 Necrotic","Ammunition (120/360 ft.; Energy Cell), Reload (2 shots), Two‑Handed","Mastery: Sap","10 lb.","","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Sap. If you hit a creature with this weapon, that creature has Disadvantage on its next attack roll before the start of your next turn."
"Antitoxin","PHB'24","222","none","Adventuring Gear","","","","","","50 GP","As a Bonus Action, you can drink a vial of Antitoxin to gain Advantage on saving throws to avoid or end the Poisoned condition for 1 hour."
"Aquamarine","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A pale blue green gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Arcane Focus","PHB'24","224","none","Spellcasting Focus","","","","","","","An Arcane Focus takes a specific form and is bejeweled or carved to channel arcane magic. A Sorcerer, Warlock, or Wizard can use such an item as a Spellcasting Focus.Multiple variations of this item exist, as listed below:CrystalOrbRodStaffWand"
"Argonnessen Trinket","ERLW","134","none","Adventuring Gear","","","","","","","Trinkets from Argonnessend10Trinket1A pierced dragon scale on a cord2A statuette of a dragon carved from black bone3A dragon's tooth, engraved with an unknown sigil4A child's doll of a dragon, woven from leather cords5A dagger carved from a dragon's talon6A brass disk bearing the silhouette of a black dragon7A small egg-shaped piece of polished bone8A bone fragment with brass inlaid runes9A leather pouch filled with tiny draconic teeth10A single large seed that's warm to the touch"
"Arrow","PHB'24","222","none","Ammunition","","","","","0,8 oz.","5 CP","Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Arrows (20)","PHB'24","222","none","Ammunition","","","","","1 lb.","1 GP","Arrows are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Arrows are typically stored in a Quiver (bought separately)."
"Artisan's Tools","PHB'24","220","none","Artisan's Tools","","","","","","","Artisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too.Multiple variations of this item exist, as listed below:Alchemist's SuppliesBrewer's SuppliesCalligrapher's SuppliesCarpenter's ToolsCartographer's ToolsCobbler's ToolsCook's UtensilsGlassblower's ToolsJeweler's ToolsLeatherworker's ToolsMason's ToolsPainter's SuppliesPotter's ToolsSmith's ToolsTinker's ToolsWeaver's ToolsWoodcarver's Tools"
"Assassin's Blood","DMG'24","90","none","Adventuring Gear, Poison (Ingested)","","","","","","150 GP","A creature subjected to Assassin's Blood makes a DC 10 Constitution saving throw. On a failed save, the creature takes 6 (1d12) Poison damage and has the Poisoned condition for 24 hours. On a successful save, the creature takes half as much damage only."
"Automatic Rifle","DMG'24","73","none","Weapon, Modern, Martial Weapon, Ranged Weapon, Firearm","","2d8 Piercing","Ammunition (80/240 ft.; Firearm Bullet), Burst Fire, Reload (30 shots), Two‑Handed","Mastery: Slow","8 lb.","","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. Firearm Bullets are destroyed upon use in a modern firearm. Futuristic firearms use Energy Cells that become depleted but could possibly be recharged with the proper equipment, at the GM's discretion. Burst Fire. As an action, you can expend 10 pieces of a Burst Fire weapon's ammunition to spray shots in a 10-foot Cube within the weapon's normal range. Each creature in that area must succeed on a DC 15 Dexterity saving throw or take damage. Roll the weapon's damage once, and apply it to each creature that failed the save. Reload. You can make a limited number of shots with a Reload weapon. You must then reload the weapon as an action or a Bonus Action. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Slow. If you hit a creature with this weapon and deal damage to it, you can reduce its Speed by 10 feet until the start of your next turn. If the creature is hit more than once by weapons that have this property, the Speed reduction doesn't exceed 10 feet."
"Axe Beak","IDRotF","20","none","Mount","","","","","","50 GP","An axe beak's splayed toes allow it to run across snow, and it can carry as much weight as a mule. A domesticated axe beak can be purchased in Ten-Towns for 50 gp."
"Azurite","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A mottled deep blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Backpack","PHB'24","224","none","Adventuring Gear","","","","","5 lb.","2 GP","A Backpack holds up to 30 pounds within 1 cubic foot. It can also serve as a saddlebag."
"Bagpipes","PHB'24","221","none","Instrument","","","","","6 lb.","30 GP","Ability: CharismaUtilize: Play a known tune (DC 10), or improvise a song (DC 15)If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Ball Bearings","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","1 GP","As a Utilize action, you can spill Ball Bearings from their pouch. They spread to cover a level, 10-foot-square area within 10 feet of yourself. A creature that enters this area for the first time on a turn must succeed on a DC 10 Dexterity saving throw or have the Prone condition. It takes 10 minutes to recover the Ball Bearings."
"Banded Agate","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A striped brown, blue, white, or red gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Barrel","PHB'24","224","none","Adventuring Gear","","","","","70 lb.","2 GP","A Barrel holds up to 40 gallons of liquid or up to 4 cubic feet of dry goods."
"Basic Poison","PHB'24","227","none","Adventuring Gear, Poison","","","","","","100 GP","As a Bonus Action, you can use a vial of Basic Poison to coat one weapon or up to three pieces of ammunition. A creature that takes Piercing or Slashing damage from the poisoned weapon or ammunition takes an extra 1d4 Poison damage. Once applied, the poison retains potency for 1 minute or until its damage is dealt, whichever comes first."
"Basket","PHB'24","224","none","Adventuring Gear","","","","","2 lb.","4 SP","A Basket holds up to 40 pounds within 2 cubic feet."
"Battleaxe","PHB'24","215","none","Weapon, Martial Weapon, Melee Weapon","","1d8 Slashing","Versatile (1d10)","Mastery: Topple","4 lb.","10 GP","Versatile. A Versatile weapon can be used with one or two hands. A damage value in parentheses appears with the property. The weapon deals that damage when used with two hands to make a melee attack. Mastery: Topple. If you hit a creature with this weapon, you can force the creature to make a Constitution saving throw (DC 8 plus the ability modifier used to make the attack roll and your Proficiency Bonus). On a failed save, the creature has the Prone condition."
"Bedroll","PHB'24","224","none","Adventuring Gear","","","","","7 lb.","1 GP","A Bedroll sleeps one Small or Medium creature. While in a Bedroll, you automatically succeed on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Bejeweled gold bracelet","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bejeweled ivory drinking horn with gold filigree","DMG'24","215","none","Treasure (Art Object)","","","","","","7.500 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bell","PHB'24","224","none","Adventuring Gear","","","","","","1 GP","When rung as a Utilize action, a Bell produces a sound that can be heard up to 60 feet away."
"Birdpipes","SCAG","124","none","Instrument","","","","","","","Pan pipes or satyr pipes, also known as the shalm, these are sacred to Lliira and popular with wood elf and wild elf bards.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"Black Opal","DMG'24","214","none","Treasure (Gemstone)","","","","","","1.000 GP","A dark green with black mottling and golden flecks gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Black Pearl","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A pure black gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Black Sap","EGW","152","none","Adventuring Gear","","","","","","300 GP","This tarry substance harvested from the dark boughs of the death's head willow is a powerful intoxicant. It can be smoked as a concentrate or injected directly into the bloodstream. A creature subjected to a dose of black sap cannot be charmed or frightened for 1d6 hours.For each dose of black sap consumed, a creature must succeed on a DC 15 Constitution saving throw or become poisoned for 2d4 hours—an effect that is cumulative with multiple doses."
"Black Sapphire","DMG'24","214","none","Treasure (Gemstone)","","","","","","5.000 GP","A lustrous black with glowing highlights gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Black velvet mask stitched with silver thread","DMG'24","215","none","Treasure (Art Object)","","","","","","25 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Blanket","PHB'24","224","none","Adventuring Gear","","","","","3 lb.","5 SP","While wrapped in a blanket, you have Advantage on saving throws against extreme cold (see the Dungeon Master's Guide)."
"Blasting Powder","EGW","225","none","Adventuring Gear","","","","","","","This volatile alchemical powder comes in a small pouch. When ignited by an open flame or a fuse, the powder explodes. Each creature within 5 feet of the exploding pouch must make a DC 13 Dexterity saving throw, taking 3d6 bludgeoning damage on a failed save, or half as much damage on a successful one.A character can bind multiple pouches of blasting powder together so they explode at the same time. Each additional pouch increases the damage by 1d6 (maximum of 10d6) and the blast radius by 5 feet (maximum of 20 feet)."
"Blight Ichor","EGW","152","none","Adventuring Gear","","","","","","200 GP","This bitter chartreuse concoction is distilled from a fungus native to the Blightshore badlands. The sickly green liqueur harbors potent psychedelic properties. Provided it is neither a construct nor undead, a creature subjected to a dose of blight ichor gains advantage on Intelligence and Wisdom checks, as well as vulnerability to psychic damage, for 1 hour. For each dose of blight ichor consumed, the creature must succeed on a DC 15 Constitution saving throw or become poisoned for 1d6 hours and suffer the effects of a confusion spell for 1 minute. An undead creature subjected to a dose of blight ichor gains advantage on all Dexterity checks and is immune to the frightened condition for 1 hour."
"Block and Tackle","PHB'24","224","none","Adventuring Gear","","","","","5 lb.","1 GP","A Block and Tackle allows you to hoist up to four times the weight you can normally lift."
"Bloodstone","DMG'24","214","none","Treasure (Gemstone)","","","","","","50 GP","A dark gray with red flecks gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Blowgun","PHB'24","215","none","Weapon, Martial Weapon, Ranged Weapon","","1 Piercing","Ammunition (Range 25/100 ft.; Needle), Loading","Mastery: Vex","1 lb.","10 GP","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Blue Quartz","DMG'24","214","none","Treasure (Gemstone)","","","","","","10 GP","A pale blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Blue Sapphire","DMG'24","214","none","Treasure (Gemstone)","","","","","","1.000 GP","A medium blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Blue Spinel","DMG'24","214","none","Treasure (Gemstone)","","","","","","500 GP","A deep blue gemstone.Gemstones are small, lightweight, and easily secured compared to their same value in coins."
"Bolt","PHB'24","222","none","Ammunition","","","","","1,2 oz.","5 CP","Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Bolts (20)","PHB'24","222","none","Ammunition","","","","","1½ lb.","1 GP","Crossbow bolts are used with a weapon that has the ammunition property to make a ranged attack. Each time you attack with the weapon, you expend one piece of ammunition. Drawing the ammunition from a quiver, case, or other container is part of the attack (you need a free hand to load a one-handed weapon). At the end of the battle, you can recover half your expended ammunition by taking a minute to search the battlefield.Bolts are typically stored in a Crossbow Bolt Case (bought separately)."
"Bomb","DMG'24","73","none","Explosive","","","","","1 lb.","100 GP","As an action, you can light a Bomb and throw it at a point up to 60 feet away, where it explodes. Each creature in a 5-foot-radius Sphere centered on that point makes a DC 12 Dexterity saving throw, taking 3d6 Fire damage on a failed save or half as much damage on a successful one."
"Book","PHB'24","224","none","Adventuring Gear","","","","","5 lb.","25 GP","A Book contains fiction or nonfiction. If you consult an accurate nonfiction Book about its topic, you gain a +5 bonus to Intelligence (Arcana, History, Nature, or Religion) checks you make about that topic."
"Bottle stopper cork embossed with gold leaf and set with amethysts","DMG'24","215","none","Treasure (Art Object)","","","","","","750 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Box of turquoise animal figurines","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Brass mug with jade inlay","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
"Bread (loaf)","PHB'24","231","none","Food and Drink","","","","","","2 CP",""
"Breastplate","PHB'24","219","none","Medium Armor","","AC 14 + Dex (max 2)","","","20 lb.","400 GP",""
"Brewer's Supplies","PHB'24","220","none","Artisan's Tools","","","","","9 lb.","20 GP","Ability: IntelligenceUtilize: Detect poisoned drink (DC 15), or identify alcohol (DC 10)Craft: AntitoxinArtisan's Tools are each focused on crafting items and pursuing a trade. Each type of Artisan's Tools tools requires a separate proficiency.If you have proficiency with a tool, add your Proficiency Bonus to any ability check you make that uses the tool. If you have proficiency in a skill that's used with that check, you have Advantage on the check too."
"Bronze crown","DMG'24","215","none","Treasure (Art Object)","","","","","","250 GP","Idols cast of solid gold, necklaces studded with precious stones, paintings of ancient kings, bejeweled dishes—art objects include all these and more."
