"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"+1 Wraps of Unarmed Power","DMG'24","325","uncommon","Wondrous Item","","","","","","","While wearing these wraps, you have a +1 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"+2 All-Purpose Tool","TCE","119","rare","Wondrous Item, Spellcasting Focus","requires attunement by an artificer","","","","","","This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +2 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
"+2 Ammunition","DMG'24","228","rare","Ammunition, Generic Variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (2,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+2 Arrow)Bolt (+2 Bolt)Energy Cell (+2 Energy Cell)Firearm Bullet (+2 Firearm Bullet)Needle (+2 Needle)Sling Bullet (+2 Sling Bullet)"
"+2 Amulet of the Devout","TCE","119","rare","Wondrous Item","requires attunement by a cleric or paladin","","","","1 lb.","","This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +2 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
"+2 Arcane Grimoire","TCE","120","rare","Wondrous Item, Spellcasting Focus","requires attunement by a wizard","","","","3 lb.","","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
"+2 Armor","DMG'24","230","very rare","Generic Variant","","","","","","","You have a +2 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+2 Breastplate)Chain Mail (+2 Chain Mail)Chain Shirt (+2 Chain Shirt)Half Plate Armor (+2 Half Plate Armor)Hide Armor (+2 Hide Armor)Leather Armor (+2 Leather Armor)Padded Armor (+2 Padded Armor)Plate Armor (+2 Plate Armor)Ring Mail (+2 Ring Mail)Scale Mail (+2 Scale Mail)Splint Armor (+2 Splint Armor)Studded Leather Armor (+2 Studded Leather Armor)"
"+2 Bloodwell Vial","TCE","122","rare","Wondrous Item, Spellcasting Focus","requires attunement by a sorcerer","","","","","","To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
"+2 Moon Sickle","TCE","133","rare","Weapon (Sickle), Simple Weapon, Melee Weapon","requires attunement by a druid or ranger","1d4 Slashing","light","","2 lb.","","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +2 bonus to attack and damage rolls made with it, and you gain a +2 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"+2 Rhythm-Maker's Drum","TCE","134","rare","Wondrous Item, Instrument (Drum)","requires attunement by a bard","","","","3 lb.","","While holding this drum, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"+2 Rod of the Pact Keeper","DMG'24","301","rare","Rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +2 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
"+2 Shield (*)","DMG'24","303","rare","Generic Variant","","","","","","","* This generic variant has the same name and source as the item +2 Shield.While holding this Shield, you have a +2 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+2 Shield)"
"+2 Wand of the War Mage","DMG'24","322","rare","Wand","requires attunement by a spellcaster","","","","1 lb.","","While holding this wand, you gain a +2 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
"+2 Weapon","DMG'24","324","rare","Generic Variant","","","","","","","You have a +2 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+2 Antimatter Rifle)Automatic Rifle (+2 Automatic Rifle)Battleaxe (+2 Battleaxe)Blowgun (+2 Blowgun)Club (+2 Club)Dagger (+2 Dagger)Dart (+2 Dart)Double-Bladed Scimitar (+2 Double-Bladed Scimitar)Flail (+2 Flail)Glaive (+2 Glaive)Greataxe (+2 Greataxe)Greatclub (+2 Greatclub)Greatsword (+2 Greatsword)Halberd (+2 Halberd)Hand Crossbow (+2 Hand Crossbow)Handaxe (+2 Handaxe)Heavy Crossbow (+2 Heavy Crossbow)Hooked Shortspear (+2 Hooked Shortspear)Hoopak (+2 Hoopak)Hunting Rifle (+2 Hunting Rifle)Javelin (+2 Javelin)Lance (+2 Lance)Laser Pistol (+2 Laser Pistol)Laser Rifle (+2 Laser Rifle)Light Crossbow (+2 Light Crossbow)Light Hammer (+2 Light Hammer)Light Repeating Crossbow (+2 Light Repeating Crossbow)Longbow (+2 Longbow)Longsword (+2 Longsword)Mace (+2 Mace)Maul (+2 Maul)Morningstar (+2 Morningstar)Musket (+2 Musket)Pike (+2 Pike)Pistol (+2 Pistol)Quarterstaff (+2 Quarterstaff)Rapier (+2 Rapier)Revolver (+2 Revolver)Scimitar (+2 Scimitar)Semiautomatic Pistol (+2 Semiautomatic Pistol)Shortbow (+2 Shortbow)Shortsword (+2 Shortsword)Shotgun (+2 Shotgun)Sickle (+2 Sickle)Sling (+2 Sling)Spear (+2 Spear)Trident (+2 Trident)War Pick (+2 War Pick)Warhammer (+2 Warhammer)Whip (+2 Whip)Yklwa (+2 Yklwa)"
"+2 Wraps of Unarmed Power","DMG'24","325","rare","Wondrous Item","","","","","","","While wearing these wraps, you have a +2 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"+3 All-Purpose Tool","TCE","119","very rare","Wondrous Item, Spellcasting Focus","requires attunement by an artificer","","","","","","This simple screwdriver can transform into a variety of tools; as an action, you can touch the item and transform it into any type of artisan's tool of your choice (see the ""Equipment"" chapter in the Player's Handbook for a list of artisan's tools). Whatever form the tool takes, you are proficient with it.While holding this tool, you gain a +3 bonus to the spell attack rolls and the saving throw DCs of your artificer spells.As an action, you can focus on the tool to channel your creative forces. Choose a cantrip that you don't know from any class list. For 8 hours, you can cast that cantrip, and it counts as an artificer cantrip for you. Once this property is used, it can't be used again until the next dawn."
"+3 Ammunition","DMG'24","228","very rare","Ammunition, Generic Variant","","","","","","","You have a +3 bonus to attack and damage rolls made with this piece of magic ammunition. Once it hits a target, the ammunition is no longer magical.This ammunition is typically found or sold in quantities of ten or twenty pieces. Ten pieces of this ammunition are equivalent in value to a potion of the same rarity (20,000 GP). Base items. This item variant can be applied to the following base items:Arrow (+3 Arrow)Bolt (+3 Bolt)Energy Cell (+3 Energy Cell)Firearm Bullet (+3 Firearm Bullet)Needle (+3 Needle)Sling Bullet (+3 Sling Bullet)"
"+3 Amulet of the Devout","TCE","119","very rare","Wondrous Item","requires attunement by a cleric or paladin","","","","1 lb.","","This amulet bears the symbol of a deity inlaid with precious stones or metals. While you wear the holy symbol, you gain a +3 bonus to spell attack rolls and the saving throw DCs of your spells.While you wear this amulet, you can use your Channel Divinity feature without expending one of the feature's uses. Once this property is used, it can't be used again until the next dawn."
"+3 Arcane Grimoire","TCE","120","very rare","Wondrous Item, Spellcasting Focus","requires attunement by a wizard","","","","3 lb.","","While you are holding this leather-bound book, you can use it as a spellcasting focus for your wizard spells, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your wizard spells.You can use this book as a spellbook. In addition, when you use your Arcane Recovery feature, you can increase the number of spell slot levels you regain by 1."
"+3 Armor","DMG'24","230","legendary","Generic Variant","","","","","","","You have a +3 bonus to AC while wearing this armor. Base items. This item variant can be applied to the following base items:Breastplate (+3 Breastplate)Chain Mail (+3 Chain Mail)Chain Shirt (+3 Chain Shirt)Half Plate Armor (+3 Half Plate Armor)Hide Armor (+3 Hide Armor)Leather Armor (+3 Leather Armor)Padded Armor (+3 Padded Armor)Plate Armor (+3 Plate Armor)Ring Mail (+3 Ring Mail)Scale Mail (+3 Scale Mail)Splint Armor (+3 Splint Armor)Studded Leather Armor (+3 Studded Leather Armor)"
"+3 Bloodwell Vial","TCE","122","very rare","Wondrous Item, Spellcasting Focus","requires attunement by a sorcerer","","","","","","To attune to this vial, you must place a few drops of your blood into it. The vial can't be opened while your attunement to it lasts. If your attunement to the vial ends, the contained blood turns to ash. You can use the vial as a spellcasting focus for your spells while wearing or holding it, and you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your sorcerer spells.In addition, when you roll any Hit Dice to recover hit points while you are carrying the vial, you can regain 5 sorcery points. This property of the vial can't be used again until the next dawn."
"+3 Moon Sickle","TCE","133","very rare","Weapon (Sickle), Simple Weapon, Melee Weapon","requires attunement by a druid or ranger","1d4 Slashing","light","","2 lb.","","This silver-bladed sickle glimmers softly with moonlight. While holding this magic weapon, you gain a +3 bonus to attack and damage rolls made with it, and you gain a +3 bonus to spell attack rolls and the saving throw DCs of your druid and ranger spells. In addition, you can use the sickle as a spellcasting focus for your druid and ranger spells.When you cast a spell that restores hit points, you can roll a d4 and add the number rolled to the amount of hit points restored, provided you are holding the sickle. Light. A light weapon is small and easy to handle, making it ideal for use when fighting with two weapons."
"+3 Rhythm-Maker's Drum","TCE","134","very rare","Wondrous Item, Instrument (Drum)","requires attunement by a bard","","","","3 lb.","","While holding this drum, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your bard spells.As an action, you can play the drum to regain one use of your Bardic Inspiration feature. This property of the drum can't be used again until the next dawn.If you have proficiency with a given musical instrument, you can add your proficiency bonus to any ability checks you make to play music with the instrument. A bard can use a musical instrument as a spellcasting focus. Each type of musical instrument requires a separate proficiency.See the Tool Proficiencies entry for more information.Proficiency with a musical instrument indicates you are familiar with the techniques used to play it. You also have knowledge of some songs commonly performed with that instrument. History. Your expertise aids you in recalling lore related to your instrument. Performance. Your ability to put on a good show is improved when you incorporate an instrument into your act. Compose a Tune. As part of a long rest, you can compose a new tune and lyrics for your instrument. You might use this ability to impress a noble or spread scandalous rumors with a catchy tune.Musical InstrumentActivityDCIdentify a tune10Improvise a tune20"
"+3 Rod of the Pact Keeper","DMG'24","301","very rare","Rod","requires attunement by a warlock","","","","2 lb.","","While holding this rod, you gain a +3 bonus to spell attack rolls and to the saving throw DCs of your Warlock spells.In addition, you can regain one spell slot as a Magic action while holding the rod. You can't use this property again until you finish a Long Rest."
"+3 Shield (*)","DMG'24","303","very rare","Generic Variant","","","","","","","* This generic variant has the same name and source as the item +3 Shield.While holding this Shield, you have a +3 bonus to Armor Class, in addition to the Shield's normal bonus to AC. Base items. This item variant can be applied to the following base items:Shield (+3 Shield)"
"+3 Wand of the War Mage","DMG'24","322","very rare","Wand","requires attunement by a spellcaster","","","","1 lb.","","While holding this wand, you gain a +3 bonus to spell attack rolls. In addition, you ignore Half Cover when making a spell attack roll."
"+3 Weapon","DMG'24","324","very rare","Generic Variant","","","","","","","You have a +3 bonus to attack and damage rolls made with this magic weapon. Base items. This item variant can be applied to the following base items:Antimatter Rifle (+3 Antimatter Rifle)Automatic Rifle (+3 Automatic Rifle)Battleaxe (+3 Battleaxe)Blowgun (+3 Blowgun)Club (+3 Club)Dagger (+3 Dagger)Dart (+3 Dart)Double-Bladed Scimitar (+3 Double-Bladed Scimitar)Flail (+3 Flail)Glaive (+3 Glaive)Greataxe (+3 Greataxe)Greatclub (+3 Greatclub)Greatsword (+3 Greatsword)Halberd (+3 Halberd)Hand Crossbow (+3 Hand Crossbow)Handaxe (+3 Handaxe)Heavy Crossbow (+3 Heavy Crossbow)Hooked Shortspear (+3 Hooked Shortspear)Hoopak (+3 Hoopak)Hunting Rifle (+3 Hunting Rifle)Javelin (+3 Javelin)Lance (+3 Lance)Laser Pistol (+3 Laser Pistol)Laser Rifle (+3 Laser Rifle)Light Crossbow (+3 Light Crossbow)Light Hammer (+3 Light Hammer)Light Repeating Crossbow (+3 Light Repeating Crossbow)Longbow (+3 Longbow)Longsword (+3 Longsword)Mace (+3 Mace)Maul (+3 Maul)Morningstar (+3 Morningstar)Musket (+3 Musket)Pike (+3 Pike)Pistol (+3 Pistol)Quarterstaff (+3 Quarterstaff)Rapier (+3 Rapier)Revolver (+3 Revolver)Scimitar (+3 Scimitar)Semiautomatic Pistol (+3 Semiautomatic Pistol)Shortbow (+3 Shortbow)Shortsword (+3 Shortsword)Shotgun (+3 Shotgun)Sickle (+3 Sickle)Sling (+3 Sling)Spear (+3 Spear)Trident (+3 Trident)War Pick (+3 War Pick)Warhammer (+3 Warhammer)Whip (+3 Whip)Yklwa (+3 Yklwa)"
"+3 Wraps of Unarmed Power","DMG'24","325","very rare","Wondrous Item","","","","","","","While wearing these wraps, you have a +3 bonus to attack rolls and damage rolls made with your Unarmed Strikes. Those strikes deal your choice of Force damage or their normal damage type."
"Absorbing Tattoo","TCE","119","very rare","Wondrous Item (Tattoo)","requires attunement","","","","","","Produced by a special needle, this magic tattoo features designs that emphasize one color. Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to a type of damage associated with that color, as shown on the table below. The DM chooses the color or determines it randomly.Absorbing Tattood10ColorTattoo1GreenAcid Absorbing Tattoo2BlueCold Absorbing Tattoo3RedFire Absorbing Tattoo4WhiteForce Absorbing Tattoo5YellowLightning Absorbing Tattoo6BlackNecrotic Absorbing Tattoo7VioletPoison Absorbing Tattoo8SilverPsychic Absorbing Tattoo9GoldRadiant Absorbing Tattoo10OrangeThunder Absorbing Tattoo Damage Absorption. When you take damage of the chosen type, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn.Multiple variations of this item exist, as listed below:Acid Absorbing TattooCold Absorbing TattooFire Absorbing TattooForce Absorbing TattooLightning Absorbing TattooNecrotic Absorbing TattooPoison Absorbing TattooPsychic Absorbing TattooRadiant Absorbing TattooThunder Absorbing Tattoo"
"Acid Absorbing Tattoo","TCE","119","very rare","Wondrous Item (Tattoo)","requires attunement","","","","","","Produced by a special needle, this magic tattoo features designs that emphasize one color (green). Tattoo Attunement. To attune to this item, you hold the needle to your skin where you want the tattoo to appear, pressing the needle there throughout the attunement process. When the attunement is complete, the needle turns into the ink that becomes the tattoo, which appears on the skin.If your attunement to the tattoo ends, the tattoo vanishes, and the needle reappears in your space. Damage Resistance. While the tattoo is on your skin, you have resistance to acid damage. Damage Absorption. When you take acid damage, you can use your reaction to gain immunity against that instance of the damage, and you regain a number of hit points equal to half the damage you would have taken. Once this reaction is used, it can't be used again until the next dawn."
"Adamantine Armor","DMG'24","227","uncommon","Generic Variant","","","","","","","This suit of armor is reinforced with adamantine, one of the hardest substances in existence. While you're wearing it, any Critical Hit against you becomes a normal hit. Base items. This item variant can be applied to the following base items:Breastplate (Adamantine Breastplate)Chain Mail (Adamantine Chain Mail)Chain Shirt (Adamantine Chain Shirt)Half Plate Armor (Adamantine Half Plate Armor)Plate Armor (Adamantine Plate Armor)Ring Mail (Adamantine Ring Mail)Scale Mail (Adamantine Scale Mail)Splint Armor (Adamantine Splint Armor)"
"Adamantine Weapon","DMG'24","227","uncommon","Generic Variant","","","","","","","This weapon or piece of ammunition is made of adamantine, one of the hardest substances in existence. Whenever this weapon or piece of ammunition hits an object, the hit is a Critical Hit. Base items. This item variant can be applied to the following base items:Arrow (Adamantine Arrow)Battleaxe (Adamantine Battleaxe)Bolt (Adamantine Bolt)Club (Adamantine Club)Dagger (Adamantine Dagger)Energy Cell (Adamantine Energy Cell)Firearm Bullet (Adamantine Firearm Bullet)Flail (Adamantine Flail)Glaive (Adamantine Glaive)Greataxe (Adamantine Greataxe)Greatclub (Adamantine Greatclub)Greatsword (Adamantine Greatsword)Halberd (Adamantine Halberd)Handaxe (Adamantine Handaxe)Javelin (Adamantine Javelin)Lance (Adamantine Lance)Light Hammer (Adamantine Light Hammer)Longsword (Adamantine Longsword)Mace (Adamantine Mace)Maul (Adamantine Maul)Morningstar (Adamantine Morningstar)Needle (Adamantine Needle)Pike (Adamantine Pike)Quarterstaff (Adamantine Quarterstaff)Rapier (Adamantine Rapier)Scimitar (Adamantine Scimitar)Shortsword (Adamantine Shortsword)Sickle (Adamantine Sickle)Sling Bullet (Adamantine Sling Bullet)Spear (Adamantine Spear)Trident (Adamantine Trident)War Pick (Adamantine War Pick)Warhammer (Adamantine Warhammer)Whip (Adamantine Whip)"
"Alchemical Compendium","TCE","119","rare","Wondrous Item, Spellcasting Focus","requires attunement by a wizard","","","","3 lb.","","Acrid odors cling to this stained, heavy volume. The book's metal fittings are copper, iron, lead, silver, and gold, some frozen mid-transition from one metal to another. When found, the book contains the following spells: enlarge/reduce, feather fall, flesh to stone, gaseous form, magic weapon, and polymorph. It functions as a spellbook for you.While you are holding the book, you can use it as a spellcasting focus for your wizard spells.The book has 3 charges, and it regains 1d3 expended charges daily at dawn. You can use the charges in the following ways while holding it:If you spend 1 minute studying the book, you can expend 1 charge to replace one of your prepared wizard spells with a different spell in the book. The new spell must be of the transmutation school.As an action, you can touch a nonmagical object that isn't being worn or carried and spend a number of charges to transform the target into another object. For 1 charge, the object can be no larger than 1 foot on a side. You can spend additional charges to increase the maximum dimensions by 2 feet per charge. The new object must have a gold value equal to or less than the original."
"Alchemy Jug","DMG'24","227","uncommon","Wondrous Item","","","","","12 lb.","","This ceramic jug appears to be able to hold a gallon of liquid and weighs 12 pounds whether full or empty. The jug sloshes when it is shaken, even if the jug is empty.You can take a Magic action and name one liquid from the Alchemy Jug Liquids table to cause the jug to produce the chosen liquid. Afterward, you can uncork the jug as a Utilize action and pour that liquid out, up to 2 gallons per minute. The maximum amount of liquid the jug can produce depends on the liquid you named.Once the jug starts producing a liquid, it can't produce a different one, or more of one that has reached its maximum, until the next dawn.Alchemy Jug LiquidsLiquidMax. AmountAcid8 ouncesBasic Poison4 ouncesBeer4 gallonsHoney1 gallonMayonnaise2 gallonsOil1 quartVinegar2 gallonsWater, fresh8 gallonsWater, salt12 gallonsWine1 gallon"
"Ammunition of Slaying","DMG'24","228","very rare","Ammunition, Generic Variant","","","","","","","This magic ammunition is meant to slay creatures of a particular type, which the DM chooses or determines randomly by rolling on the table below. If a creature of that type takes damage from the ammunition, the creature makes a DC 17 Constitution saving throw, taking an extra 6d10 Force damage on a failed save or half as much extra damage on a successful one.After dealing its extra damage to a creature, the ammunition becomes nonmagical.1d100Creature Type01-10Aberrations11-15Beasts16-20Celestials21-25Constructs26-35Dragons36-45Elementals46-50Humanoids51-60Fey61-70Fiends71-75Giants76-80Monstrosities81-85Oozes86-90Plants91-00Undead Base items. This item variant can be applied to the following base items:Arrow (Arrow of Slaying)Bolt (Bolt of Slaying)Energy Cell (Energy Cell of Slaying)Firearm Bullet (Firearm Bullet of Slaying)Needle (Needle of Slaying)Sling Bullet (Sling Bullet of Slaying)"
